mode,state,date,dem,rep,sigma
president,AK,2024-09-01,43,53,5
president,AK,2024-10-09,46,54,3
president,AK,2024-10-22,45,55,3
president,AR,2024-09-06,40,55,5
president,AZ,2024-02-19,40,48,3
president,AZ,2024-05-13,42,51,3
president,AZ,2024-07-11,44,52,4
president,AZ,2024-07-16,42,48,4
president,AZ,2024-07-23,44,49,3
president,AZ,2024-07-28,49,47,3
president,AZ,2024-07-30,47,49,4
president,AZ,2024-08-05,44,42,4
president,AZ,2024-08-08,47,48,3
president,AZ,2024-08-15,50,45,4
president,AZ,2024-08-17,45,47,3
president,AZ,2024-08-20,48,49,3
president,AZ,2024-08-26,50,49,3
president,AZ,2024-08-26,48,48,3
president,AZ,2024-08-28,47,50,3
president,AZ,2024-08-31,48,49,3
president,AZ,2024-09-03,47,49,3
president,AZ,2024-09-05,47,47,3
president,AZ,2024-09-09,46,46,3
president,AZ,2024-09-12,46,47,3
president,AZ,2024-09-18,48,49,3
president,AZ,2024-09-21,45,50,3
president,AZ,2024-09-22,47,49,3
president,AZ,2024-09-24,48,51,3
president,AZ,2024-09-24,49,50,3
president,AZ,2024-09-25,49,50,3
president,AZ,2024-09-28,48,50,3
president,AZ,2024-10-02,46,50,3
president,AZ,2024-10-08,47,49,3
president,AZ,2024-10-10,46,51,3
president,AZ,2024-10-16,48,51,3
president,AZ,2024-10-17,49,49,3
president,AZ,2024-10-21,47,50,3
president,AZ,2024-10-22,49,50,3
president,AZ,2024-10-26,46,48,3
president,AZ,2024-10-29,47,51,3
president,AZ,2024-10-30,48,48,3
president,AZ,2024-10-31,47,51,3
president,AZ,2024-11-01,46,49,3
president,AZ,2024-11-02,48,50,3
president,AZ,2024-11-04,47,52,3
president,CA,2024-08-11,59,34,2
president,CA,2024-09-05,60,36,3
president,CA,2024-10-14,59,35,3
president,CA,2024-10-28,57,35,2
president,CA,2024-11-03,64,32,5
president,CO,2024-09-08,55,40,4
president,CO,2024-09-14,53,42,4
president,CO,2024-09-18,53,42,4
president,CO,2024-10-30,55,41,4
president,CO,2024-10-30,53,41,4
president,CT,2024-09-18,52,37,4
president,DE,2024-09-19,56,36,6
president,DE,2024-09-21,54,37,4
president,FL,2024-07-16,39,49,4
president,FL,2024-07-27,42,49,5
president,FL,2024-08-11,46,50,3
president,FL,2024-08-15,46,54,5
president,FL,2024-08-22,47,51,4
president,FL,2024-08-31,47,53,5
president,FL,2024-09-05,45,50,3
president,FL,2024-09-08,47,49,2
president,FL,2024-09-18,47,50,2
president,FL,2024-09-25,46,51,3
president,FL,2024-09-26,46,50,4
president,FL,2024-09-27,47,50,3
president,FL,2024-10-06,41,55,5
president,FL,2024-10-07,47,51,3
president,FL,2024-10-17,45,52,3
president,FL,2024-10-20,44,52,3
president,FL,2024-10-25,45,50,3
president,FL,2024-10-27,44,53,3
president,FL,2024-11-01,46,51,3
president,FL,2024-11-03,44,51,5
president,GA,2024-02-16,41,51,3
president,GA,2024-05-13,41,49,3
